model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,66.37,64.59,68.15,"(-1.78, +1.78)",898.0,2025-04-06
gpt-4o-2024-11-20,56.51,54.26,58.48,"(-2.25, +1.97)",903.0,2025-04-06
Widn__Tower-4-Vesuvius-SFT,54.11,52.2,56.74,"(-1.91, +2.63)",3341.0,2025-04-06
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3573.0,2025-04-06
Widn__Tower-4-Sugarloaf,31.33,28.9,32.79,"(-2.43, +1.46)",3653.0,2025-04-06
Widn__Tower-4-Sugarloaf-SFT,23.92,22.51,25.13,"(-1.41, +1.21)",3414.0,2025-04-06
CohereForAI__aya-expanse-32b,23.44,21.92,25.0,"(-1.52, +1.56)",2864.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct,21.49,20.06,23.2,"(-1.43, +1.71)",3634.0,2025-04-06
meta-llama__Llama-3.3-70B-Instruct,20.08,18.68,21.68,"(-1.40, +1.60)",2856.0,2025-04-06
CohereForAI__aya-expanse-8b,20.04,18.5,21.72,"(-1.54, +1.68)",2943.0,2025-04-06
google__gemma-2-27b-it,18.54,17.12,19.98,"(-1.42, +1.44)",2457.0,2025-04-06
Qwen__Qwen2.5-14B-Instruct,15.46,13.88,16.66,"(-1.58, +1.20)",2948.0,2025-04-06
google__gemma-2-9b-it,10.31,8.73,11.13,"(-1.58, +0.82)",2282.0,2025-04-06
meta-llama__Llama-3.1-8B-Instruct,7.72,6.55,8.71,"(-1.17, +0.99)",3426.0,2025-04-06
google__gemma-2-2b-it,7.62,6.74,8.36,"(-0.88, +0.74)",3001.0,2025-04-06
Widn__Tower-4-Anthill,5.5,4.5,6.29,"(-1.00, +0.79)",3950.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct,5.36,4.7,6.21,"(-0.66, +0.85)",4756.0,2025-04-06
utter-project__EuroLLM-9B-Instruct,4.43,3.68,5.16,"(-0.75, +0.73)",2785.0,2025-04-06
Widn__Tower-3.0-vesuvius-241001,4.26,3.61,4.81,"(-0.65, +0.55)",1853.0,2025-04-06
meta-llama__Llama-3.2-3B-Instruct,3.84,3.16,4.71,"(-0.68, +0.87)",3845.0,2025-04-06
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.27,2.6,3.8,"(-0.67, +0.53)",1820.0,2025-04-06
Widn__Tower-4-Anthill-SFT,2.99,2.42,3.71,"(-0.57, +0.72)",3714.0,2025-04-06
Widn__Tower-3.0-sugarloaf-241001,2.01,1.61,2.57,"(-0.40, +0.56)",2157.0,2025-04-06
meta-llama__Llama-2-13b-chat-hf,1.14,0.77,1.52,"(-0.37, +0.38)",2443.0,2025-04-06
meta-llama__Llama-2-7b-chat-hf,0.84,0.56,1.12,"(-0.28, +0.28)",2513.0,2025-04-06
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.64,0.4,0.83,"(-0.24, +0.19)",2967.0,2025-04-06
Unbabel__TowerInstruct-13B-v0.1,0.57,0.29,0.9,"(-0.28, +0.33)",1633.0,2025-04-06
haoranxu__ALMA-13B-R,0.38,0.21,0.53,"(-0.17, +0.15)",142.0,2025-04-06
mistralai__Mistral-7B-Instruct-v0.1,0.36,0.13,0.5,"(-0.23, +0.14)",3859.0,2025-04-06
Widn__Tower-3.0-anthill-241001,0.34,0.16,0.53,"(-0.18, +0.19)",2796.0,2025-04-06
ModelSpace__GemmaX2-28-2B-v0.1,0.3,0.15,0.43,"(-0.15, +0.13)",269.0,2025-04-06
Unbabel__TowerInstruct-7B-v0.2,0.26,0.12,0.4,"(-0.14, +0.14)",1616.0,2025-04-06
ModelSpace__GemmaX2-28-9B-v0.1,0.19,0.09,0.3,"(-0.10, +0.11)",427.0,2025-04-06
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.17,0.03,0.34,"(-0.14, +0.17)",1674.0,2025-04-06
haoranxu__ALMA-7B-R,0.17,0.07,0.27,"(-0.10, +0.10)",546.0,2025-04-06
utter-project__EuroLLM-1.7B-Instruct,0.0,0.0,0.0,"(-0.00, +0.00)",3104.0,2025-04-06
