model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,71.57,70.01,73.25,"(-1.56, +1.68)",1039.0,2025-04-07
gpt-4o-2024-11-20,68.43,66.81,70.14,"(-1.62, +1.71)",1023.0,2025-04-07
Widn__Tower-4-Vesuvius-SFT,58.35,56.3,60.02,"(-2.05, +1.67)",1743.0,2025-04-07
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",1805.0,2025-04-07
Widn__Tower-4-Sugarloaf,36.71,35.86,37.83,"(-0.85, +1.12)",1909.0,2025-04-07
meta-llama__Llama-3.3-70B-Instruct,31.54,29.32,33.41,"(-2.22, +1.87)",1493.0,2025-04-07
CohereForAI__aya-expanse-32b,30.29,28.66,32.1,"(-1.63, +1.81)",1336.0,2025-04-07
Widn__Tower-4-Sugarloaf-SFT,26.11,24.11,27.73,"(-2.00, +1.62)",1888.0,2025-04-07
CohereForAI__aya-expanse-8b,25.57,24.11,27.22,"(-1.46, +1.65)",1346.0,2025-04-07
google__gemma-2-27b-it,22.18,20.59,23.82,"(-1.59, +1.64)",1301.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_7B,21.65,20.36,23.33,"(-1.29, +1.68)",1607.0,2025-04-07
Qwen__Qwen2.5-14B-Instruct,19.87,17.95,21.64,"(-1.92, +1.77)",1447.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_3B,19.7,18.08,20.95,"(-1.62, +1.25)",1635.0,2025-04-07
Qwen2.5-14B-Instruct,19.63,17.93,21.12,"(-1.70, +1.49)",786.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_14B,19.42,17.75,21.21,"(-1.67, +1.79)",1902.0,2025-04-07
Qwen2.5-7B-Instruct,17.66,16.2,19.52,"(-1.46, +1.86)",860.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct,17.62,16.36,19.01,"(-1.26, +1.39)",1429.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_7,16.21,14.89,17.85,"(-1.32, +1.64)",1436.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_14,16.02,14.64,17.39,"(-1.38, +1.37)",1399.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_3,15.9,14.41,17.92,"(-1.49, +2.02)",1430.0,2025-04-07
google__gemma-2-9b-it,12.25,11.23,13.38,"(-1.02, +1.13)",1138.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_multilingual_data_5_langs,11.94,10.75,13.22,"(-1.19, +1.28)",1622.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_add_multilingual,11.69,10.47,12.99,"(-1.22, +1.30)",1604.0,2025-04-07
google__gemma-2-2b-it,11.52,10.33,12.67,"(-1.19, +1.15)",2531.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_7B,11.44,10.24,12.77,"(-1.20, +1.33)",1786.0,2025-04-07
