model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,58.75,56.62,60.63,"(-2.13, +1.88)",865.0,2025-04-06
gpt-4o-2024-11-20,56.27,54.13,58.85,"(-2.14, +2.58)",923.0,2025-04-06
Widn__Tower-4-Vesuvius-SFT,52.51,50.55,54.68,"(-1.96, +2.17)",3246.0,2025-04-06
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3404.0,2025-04-06
Widn__Tower-4-Sugarloaf,34.3,33.04,36.75,"(-1.26, +2.45)",3375.0,2025-04-06
CohereForAI__aya-expanse-32b,30.81,28.2,32.74,"(-2.61, +1.93)",2994.0,2025-04-06
CohereForAI__aya-expanse-8b,26.42,24.65,28.72,"(-1.77, +2.30)",3054.0,2025-04-06
meta-llama__Llama-3.3-70B-Instruct,25.27,23.26,27.18,"(-2.01, +1.91)",2717.0,2025-04-06
Widn__Tower-4-Sugarloaf-SFT,23.02,21.15,24.66,"(-1.87, +1.64)",3205.0,2025-04-06
google__gemma-2-27b-it,21.15,19.41,22.6,"(-1.74, +1.45)",2384.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct,18.91,17.26,20.49,"(-1.65, +1.58)",3353.0,2025-04-06
Qwen__Qwen2.5-14B-Instruct,18.07,16.59,19.67,"(-1.48, +1.60)",2711.0,2025-04-06
google__gemma-2-9b-it,14.09,12.44,15.54,"(-1.65, +1.45)",2190.0,2025-04-06
google__gemma-2-2b-it,7.6,6.53,8.75,"(-1.07, +1.15)",2828.0,2025-04-06
meta-llama__Llama-3.1-8B-Instruct,6.72,5.88,7.5,"(-0.84, +0.78)",3700.0,2025-04-06
Widn__Tower-4-Anthill,6.36,5.43,7.14,"(-0.93, +0.78)",3806.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct,5.17,4.29,6.06,"(-0.88, +0.89)",5578.0,2025-04-06
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,4.94,4.12,5.89,"(-0.82, +0.95)",1962.0,2025-04-06
Widn__Tower-3.0-vesuvius-241001,4.41,3.55,5.01,"(-0.86, +0.60)",1951.0,2025-04-06
utter-project__EuroLLM-9B-Instruct,4.34,3.34,5.18,"(-1.00, +0.84)",2793.0,2025-04-06
Widn__Tower-4-Anthill-SFT,2.95,2.43,3.66,"(-0.52, +0.71)",4246.0,2025-04-06
Widn__Tower-3.0-sugarloaf-241001,2.64,1.93,3.24,"(-0.71, +0.60)",2177.0,2025-04-06
meta-llama__Llama-3.2-3B-Instruct,2.57,1.99,3.12,"(-0.58, +0.55)",3225.0,2025-04-06
meta-llama__Llama-2-7b-chat-hf,1.24,0.88,1.61,"(-0.36, +0.37)",2397.0,2025-04-06
meta-llama__Llama-2-13b-chat-hf,1.0,0.69,1.37,"(-0.31, +0.37)",2376.0,2025-04-06
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.93,0.62,1.29,"(-0.31, +0.36)",3506.0,2025-04-06
mistralai__Mistral-7B-Instruct-v0.1,0.64,0.39,0.95,"(-0.25, +0.31)",4253.0,2025-04-06
Widn__Tower-3.0-anthill-241001,0.59,0.36,0.85,"(-0.23, +0.26)",3154.0,2025-04-06
Unbabel__TowerInstruct-13B-v0.1,0.33,0.17,0.54,"(-0.16, +0.21)",1789.0,2025-04-06
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.29,0.11,0.49,"(-0.18, +0.20)",1741.0,2025-04-06
Unbabel__TowerInstruct-7B-v0.2,0.28,0.12,0.48,"(-0.16, +0.20)",1724.0,2025-04-06
ModelSpace__GemmaX2-28-2B-v0.1,0.19,0.08,0.32,"(-0.11, +0.13)",217.0,2025-04-06
haoranxu__ALMA-13B-R,0.19,0.07,0.33,"(-0.12, +0.14)",246.0,2025-04-06
ModelSpace__GemmaX2-28-9B-v0.1,0.1,0.02,0.19,"(-0.08, +0.09)",217.0,2025-04-06
haoranxu__ALMA-7B-R,0.05,0.01,0.1,"(-0.04, +0.05)",444.0,2025-04-06
utter-project__EuroLLM-1.7B-Instruct,0.05,0.0,0.12,"(-0.05, +0.07)",3187.0,2025-04-06
