model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,67.81,65.38,69.97,"(-2.43, +2.16)",1083.0,2025-04-06
gpt-4o-2024-11-20,61.39,58.89,63.55,"(-2.50, +2.16)",1096.0,2025-04-06
Widn__Tower-4-Vesuvius-SFT,54.53,52.89,56.64,"(-1.64, +2.11)",2879.0,2025-04-06
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3082.0,2025-04-06
meta-llama__Llama-3.3-70B-Instruct,35.07,33.45,37.52,"(-1.62, +2.45)",2957.0,2025-04-06
Widn__Tower-4-Sugarloaf,32.61,30.57,34.46,"(-2.04, +1.85)",3300.0,2025-04-06
CohereForAI__aya-expanse-32b,30.54,28.52,32.68,"(-2.02, +2.14)",2659.0,2025-04-06
Widn__Tower-4-Sugarloaf-SFT,23.84,22.18,24.9,"(-1.66, +1.06)",3284.0,2025-04-06
google__gemma-2-27b-it,22.78,21.28,25.04,"(-1.50, +2.26)",2224.0,2025-04-06
CohereForAI__aya-expanse-8b,22.2,20.59,23.27,"(-1.61, +1.07)",2776.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct,17.45,15.83,18.91,"(-1.62, +1.46)",2642.0,2025-04-06
Qwen__Qwen2.5-14B-Instruct,15.71,14.28,16.89,"(-1.43, +1.18)",2258.0,2025-04-06
google__gemma-2-9b-it,11.73,10.63,13.08,"(-1.10, +1.35)",2021.0,2025-04-06
google__gemma-2-2b-it,10.61,9.55,11.71,"(-1.06, +1.10)",2783.0,2025-04-06
meta-llama__Llama-3.1-8B-Instruct,7.14,6.07,8.12,"(-1.07, +0.98)",3442.0,2025-04-06
Widn__Tower-3.0-vesuvius-241001,6.0,4.93,6.86,"(-1.07, +0.86)",1726.0,2025-04-06
utter-project__EuroLLM-9B-Instruct,5.53,4.79,6.23,"(-0.74, +0.70)",2654.0,2025-04-06
Widn__Tower-4-Anthill,5.39,4.61,6.1,"(-0.78, +0.71)",3700.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct,4.97,4.27,5.73,"(-0.70, +0.76)",3497.0,2025-04-06
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,4.77,4.02,5.57,"(-0.75, +0.80)",1779.0,2025-04-06
Widn__Tower-4-Anthill-SFT,2.83,2.27,3.49,"(-0.56, +0.66)",3199.0,2025-04-06
Widn__Tower-3.0-sugarloaf-241001,2.43,2.01,3.04,"(-0.42, +0.61)",1977.0,2025-04-06
meta-llama__Llama-3.2-3B-Instruct,1.96,1.51,2.6,"(-0.45, +0.64)",5162.0,2025-04-06
meta-llama__Llama-2-7b-chat-hf,1.44,1.02,1.8,"(-0.42, +0.36)",2381.0,2025-04-06
mistralai__Mistral-7B-Instruct-v0.1,1.11,0.74,1.5,"(-0.37, +0.39)",4840.0,2025-04-06
meta-llama__Llama-2-13b-chat-hf,1.04,0.69,1.36,"(-0.35, +0.32)",2326.0,2025-04-06
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.88,0.57,1.23,"(-0.31, +0.35)",3079.0,2025-04-06
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.79,0.53,1.09,"(-0.26, +0.30)",1749.0,2025-04-06
Widn__Tower-3.0-anthill-241001,0.48,0.26,0.71,"(-0.22, +0.23)",2636.0,2025-04-06
Unbabel__TowerInstruct-13B-v0.1,0.38,0.22,0.65,"(-0.16, +0.27)",1622.0,2025-04-06
ModelSpace__GemmaX2-28-9B-v0.1,0.26,0.09,0.39,"(-0.17, +0.13)",286.0,2025-04-06
utter-project__EuroLLM-1.7B-Instruct,0.1,0.01,0.2,"(-0.09, +0.10)",3432.0,2025-04-06
ModelSpace__GemmaX2-28-2B-v0.1,0.07,0.01,0.13,"(-0.06, +0.06)",289.0,2025-04-06
haoranxu__ALMA-13B-R,0.05,0.01,0.12,"(-0.04, +0.07)",229.0,2025-04-06
Unbabel__TowerInstruct-7B-v0.2,0.04,0.0,0.1,"(-0.04, +0.06)",1500.0,2025-04-06
haoranxu__ALMA-7B-R,0.03,0.0,0.08,"(-0.03, +0.05)",462.0,2025-04-06
